Timestamp,SIM,RSSI,Network,Distance
14 Aug 13:15:15,SIM1,-64 dBm,NR NSA 5G,1.0
14 Aug 13:15:18,SIM1,-65 dBm,NR NSA 5G,1.0
14 Aug 13:15:20,SIM1,-64 dBm,NR NSA 5G,1.0
14 Aug 13:15:22,SIM1,-64 dBm,NR NSA 5G,1.0
14 Aug 13:15:25,SIM1,-64 dBm,NR NSA 5G,1.0
14 Aug 13:15:27,SIM1,-64 dBm,NR NSA 5G,1.0
14 Aug 13:15:29,SIM1,-64 dBm,NR NSA 5G,1.0
14 Aug 13:15:32,SIM1,-64 dBm,NR NSA 5G,1.0
14 Aug 13:15:34,SIM1,-64 dBm,NR NSA 5G,1.0
14 Aug 13:15:36,SIM1,-64 dBm,NR NSA 5G,1.0
14 Aug 13:15:38,SIM1,-64 dBm,NR NSA 5G,1.0
14 Aug 13:15:41,SIM1,-64 dBm,NR NSA 5G,1.0
14 Aug 13:15:43,SIM1,-64 dBm,NR NSA 5G,1.0
14 Aug 13:15:45,SIM1,-64 dBm,NR NSA 5G,1.0
14 Aug 13:15:48,SIM1,-64 dBm,NR NSA 5G,1.0
14 Aug 13:15:50,SIM1,-64 dBm,NR NSA 5G,1.0
14 Aug 13:15:52,SIM1,-64 dBm,NR NSA 5G,1.0
14 Aug 13:15:54,SIM1,-64 dBm,NR NSA 5G,1.0
14 Aug 13:15:57,SIM1,-64 dBm,NR NSA 5G,1.0
14 Aug 13:15:59,SIM1,-64 dBm,NR NSA 5G,1.0
14 Aug 13:16:01,SIM1,-64 dBm,NR NSA 5G,1.0
14 Aug 13:16:04,SIM1,-64 dBm,NR NSA 5G,1.0
14 Aug 13:16:06,SIM1,-64 dBm,NR NSA 5G,1.0
14 Aug 13:16:08,SIM1,-64 dBm,NR NSA 5G,1.0
14 Aug 13:16:10,SIM1,-64 dBm,NR NSA 5G,1.0
14 Aug 13:16:13,SIM1,-64 dBm,NR NSA 5G,1.0
14 Aug 13:16:15,SIM1,-64 dBm,NR NSA 5G,1.0
14 Aug 13:16:17,SIM1,-64 dBm,NR NSA 5G,1.0
